Line,Km,Speed[km/h],SampleCount [n.],Slope1 [mm/m],Slope2 [mm/m],CoachRoll [rad],CoachStagger [mm],CoachHeight [mm],Temperature [?],Last Pole Code [---],HeightWire1 [mm],HeightWire2 [mm],HeightWire3 [mm],HeightWire4 [mm],StaggerWire1 [mm],StaggerWire2 [mm],StaggerWire3 [mm],StaggerWire4 [mm],WearWire1 [mm],WearWire2 [mm],WearWire3 [mm],WearWire4 [mm]
GREY LINE,48.4282,0.4,29,0,0,0,0,0,0,,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO
GREY LINE,48.4282,0.4,29,0,0,0,0,0,0,,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO
GREY LINE,48.4282,0.4,29,0,0,0,0,0,0,,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO
GREY LINE,48.4282,0.4,29,0,0,0,0,0,0,,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO
GREY LINE,48.4282,0.4,29,0,0,0,0,0,0,,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO
GREY LINE,48.4284,0.6,30,0,0,0,0,0,0,,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO
GREY LINE,48.4284,0.6,31,0,0,0,0,0,0,,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO
GREY LINE,48.4284,0.6,32,0,0,0,0,0,0,,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO
GREY LINE,48.4284,0.6,33,0,0,0,0,0,0,,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO
GREY LINE,48.4284,0.6,34,0,0,0,0,0,0,,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO
GREY LINE,48.4284,0.6,35,0,0,0,0,0,0,,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO
GREY LINE,48.4284,0.6,36,0,0,0,0,0,0,,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO
GREY LINE,48.4284,0.6,37,0,0,0,0,0,0,,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO
GREY LINE,48.4284,0.6,38,0,0,0,0,0,0,,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO,1.#IO
