Line,Km,Speed[km/h],SampleCount [n.],Slope1 [mm/m],Slope2 [mm/m],CoachRoll [rad],CoachStagger [mm],CoachHeight [mm],Temperature [?],Last Pole Code [---],HeightWire1 [mm],HeightWire2 [mm],HeightWire3 [mm],HeightWire4 [mm],StaggerWire1 [mm],StaggerWire2 [mm],StaggerWire3 [mm],StaggerWire4 [mm],WearWire1 [mm],WearWire2 [mm],WearWire3 [mm],WearWire4 [mm]
PINK LINE,45.3912,1.8,51,0,0,0,0,0,0,,4265.243,4271.784,1.#IO,1.#IO,136.892,96.464,1.#IO,1.#IO,12.369,12.724,1.#IO,1.#IO
PINK LINE,45.3912,1.8,52,0,0,0,0,0,0,,4265.288,4271.891,1.#IO,1.#IO,136.924,96.514,1.#IO,1.#IO,12.369,12.715,1.#IO,1.#IO
PINK LINE,45.3912,1.8,53,0,0,0,0,0,0,,4265.181,4271.997,1.#IO,1.#IO,136.912,96.56,1.#IO,1.#IO,12.364,12.708,1.#IO,1.#IO
PINK LINE,45.3912,1.8,54,0,0,0,0,0,0,,4265.243,4272.062,1.#IO,1.#IO,136.945,96.602,1.#IO,1.#IO,12.361,12.702,1.#IO,1.#IO
PINK LINE,45.3912,1.8,55,0,0,0,0,0,0,,4265.175,4272.136,1.#IO,1.#IO,136.945,96.642,1.#IO,1.#IO,12.358,12.696,1.#IO,1.#IO
PINK LINE,45.3912,1.8,56,0,0,0,0,0,0,,4265.132,4272.179,1.#IO,1.#IO,136.941,96.68,1.#IO,1.#IO,12.356,12.69,1.#IO,1.#IO
PINK LINE,45.3912,1.8,57,0,0,0,0,0,0,,4265.065,4272.293,1.#IO,1.#IO,136.924,96.71,1.#IO,1.#IO,12.36,12.69,1.#IO,1.#IO
PINK LINE,45.3912,1.8,58,0,0,0,0,0,0,,4265.062,4272.397,1.#IO,1.#IO,136.925,96.739,1.#IO,1.#IO,12.364,12.689,1.#IO,1.#IO
PINK LINE,45.3912,1.8,59,0,0,0,0,0,0,,4264.799,4272.372,1.#IO,1.#IO,136.919,96.736,1.#IO,1.#IO,12.364,12.681,1.#IO,1.#IO
PINK LINE,45.391,2.1,60,0,0,0,0,0,0,,4264.737,4272.288,1.#IO,1.#IO,136.898,96.73,1.#IO,1.#IO,12.361,12.673,1.#IO,1.#IO
PINK LINE,45.391,2.1,61,0,0,0,0,0,0,,4264.678,4272.243,1.#IO,1.#IO,136.88,96.725,1.#IO,1.#IO,12.364,12.665,1.#IO,1.#IO
PINK LINE,45.391,2.1,62,0,0,0,0,0,0,,4264.727,4272.211,1.#IO,1.#IO,136.893,96.724,1.#IO,1.#IO,12.367,12.665,1.#IO,1.#IO
PINK LINE,45.391,2.1,63,0,0,0,0,0,0,,4264.685,4272.198,1.#IO,1.#IO,136.888,96.73,1.#IO,1.#IO,12.368,12.667,1.#IO,1.#IO
PINK LINE,45.391,2.1,64,0,0,0,0,0,0,,4264.667,4272.15,1.#IO,1.#IO,136.89,96.732,1.#IO,1.#IO,12.37,12.669,1.#IO,1.#IO
PINK LINE,45.391,2.1,65,0,0,0,0,0,0,,4264.612,4272.106,1.#IO,1.#IO,136.884,96.739,1.#IO,1.#IO,12.373,12.671,1.#IO,1.#IO
PINK LINE,45.391,2.1,66,0,0,0,0,0,0,,4264.69,4272.18,1.#IO,1.#IO,136.912,96.772,1.#IO,1.#IO,12.373,12.672,1.#IO,1.#IO
